,mention,obj,prob,pmid
0,CXCL8,gene,0.9832614064216614,35011369
1,CXCR1/2,gene,0.9854699969291687,35011369
2,Tumor,disease,0.9998654127120972,35011369
3,humans,species,0.9898026585578918,35011369
4,Interleukin-8,gene,0.9583945274353027,35011369
5,IL-8,gene,0.9838703274726868,35011369
6,CXCL8,gene,0.9512134790420532,35011369
7,tumor,disease,0.9999524354934692,35011369
8,immunosuppressive cells,cell_type,0.9087902307510376,35011369
9,tumor,disease,0.9997889399528503,35011369
10,tumor,disease,0.9995554089546204,35011369
11,CXCL8,gene,0.9811567664146423,35011369
12,cell types,cell_type,0.46116507053375244,35011369
13,cancer-associated fibroblasts,cell_type,0.7439899444580078,35011369
14,cancer,disease,0.9991177916526794,35011369
15,CAFs,cell_type,0.8103504776954651,35011369
16,immune cells,cell_type,0.8911219239234924,35011369
17,lymphatic,cell_type,0.5701447129249573,35011369
18,tumor,disease,0.9999730587005615,35011369
19,tumor,disease,0.9999673366546631,35011369
20,dysbiosis,disease,0.9978784322738647,35011369
21,CXCL8,gene,0.9723678827285767,35011369
22,immune cells,cell_type,0.9011080265045166,35011369
23,CXCL8,gene,0.9779666662216187,35011369
24,cancer,disease,0.9996358156204224,35011369
25,CXCL8,gene,0.9684158563613892,35011369
26,patients,species,0.9779037237167358,35011369
27,CXCL8,gene,0.9612471461296082,35011369
28,CXCR1/2,gene,0.9857566356658936,35011369
29,CXCL8,gene,0.9518323540687561,35011369
30,CXCR1/2,gene,0.9939534664154053,35011369
31,CXCR1/2,gene,0.9922201037406921,34893315
32,thrombosis,disease,0.9997732043266296,34893315
33,lung injury,disease,0.9997271299362183,34893315
34,Neutrophil extracellular traps,cell_type,0.58193039894104,34893315
35,thrombosis,disease,0.9974573254585266,34893315
36,sepsis,disease,0.9998095631599426,34893315
37,NET,cell_type,0.6266011595726013,34893315
38,septic,disease,0.5240423083305359,34893315
39,humans,species,0.9485564231872559,34893315
40,murine,species,0.5275889039039612,34893315
41,sepsis,disease,0.8533817529678345,34893315
42,human,species,0.9786077737808228,34893315
43,sepsis,disease,0.9969363212585449,34893315
44,human donor neutrophils,cell_type,0.6669094562530518,34893315
45,human,species,0.8584635853767395,34893315
46,patients,species,0.9531770348548889,34893315
47,sepsis,disease,0.9998478889465332,34893315
48,systemic inflammation,disease,0.999896764755249,34893315
49,extracellular,DNA,0.4984748065471649,34893315
50,extracellular DNA,RNA,0.5518879890441895,34893315
51,neutrophils,cell_type,0.8787934184074402,34893315
52,sepsis,disease,0.9991149306297302,34893315
53,Escherichia coli,species,0.9520702362060547,34893315
54,C57,cell_line,0.5792102217674255,34893315
55,mice,species,0.9449413418769836,34893315
56,CXCR1/2,gene,0.9935484528541565,34893315
57,reparixin,drug,0.9732592701911926,34893315
58,NET,cell_type,0.6354061365127563,34893315
59,organ injury,disease,0.7299023866653442,34893315
60,septic,disease,0.5616220235824585,34893315
61,mice,species,0.9780690670013428,34893315
62,NET,cell_type,0.43431007862091064,34893315
63,septic,disease,0.9946163296699524,34893315
64,patients,species,0.9533684253692627,34893315
65,patients,species,0.968835175037384,34893315
66,systemic inflammation,disease,0.999602735042572,34893315
67,mice,species,0.9620373845100403,34893315
68,neutrophils,cell_type,0.8775728344917297,34893315
69,mice,species,0.976653516292572,34893315
70,CXCR1/2,gene,0.9981679916381836,34893315
71,patients,species,0.995834469795227,34893315
72,interleukin-8,gene,0.9828450083732605,34893315
73,mice,species,0.9888424873352051,34893315
74,macrophage inflammatory protein-2,gene,0.9967023730278015,34893315
75,sepsis,disease,0.9999316930770874,34893315
76,fibrin,gene,0.9964138865470886,34893315
77,lung injury,disease,0.9976945519447327,34893315
78,CXCR1/2,gene,0.9912473559379578,34893315
79,reparixin,drug,0.9777352809906006,34893315
80,septic,disease,0.8703244924545288,34893315
81,mice,species,0.9480665922164917,34893315
82,multi-organ injury,disease,0.9992325901985168,34893315
83,CXCR1/2,gene,0.9948658347129822,34893315
84,NET,cell_type,0.5210580825805664,34893315
85,sepsis,disease,0.9983575940132141,34893315
86,CXCL1,gene,0.9909777641296387,34711015
87,CXCL10,gene,0.9807853698730469,34711015
88,CXCL12,gene,0.9838406443595886,34711015
89,Acute Myeloid AIM,disease,0.9999248385429382,34711015
90,leukemia,disease,0.9999445676803589,34711015
91,CXCL1,gene,0.955030620098114,34711015
92,CXCL10,gene,0.9294458031654358,34711015
93,CXCL12,gene,0.9054460525512695,34711015
94,CXCR1,gene,0.9960750341415405,34711015
95,CXCR3,gene,0.9903777837753296,34711015
96,CXCR4,gene,0.989807665348053,34711015
97,AML,disease,0.999976634979248,34711015
98,acute myeloid,disease,0.9999952912330627,34711015
99,leukemia,disease,0.9737517237663269,34711015
100,patients,species,0.9890300631523132,34711015
101,AML,disease,0.9999785423278809,34711015
102,patients,species,0.9945541620254517,34711015
103,M1,cell_line,,34711015
104,M3,cell_line,,34711015
105,CXCL1,gene,0.9779847264289856,34711015
106,CXCL10,gene,0.9665002822875977,34711015
