,mention,obj,prob,pmid
0,Kupffer cells,cell_type,0.8145,37724329
1,Nonalcoholic,disease,0.9917,37724329
2,Kupffer cells,cell_type,0.6343,37724329
3,KCs,cell_type,0.844,37724329
4,macrophages,cell_type,0.3733,37724329
5,myeloid-derived macrophages,cell_type,0.8,37724329
6,KCs,cell_type,0.8633,37724329
7,Nonalcoholic Steatohepatitis,disease,1.0,37724329
8,NASH,disease,1.0,37724329
9,embryo,cell_line,0.7617,37724329
10,embryo-derived KCs,cell_type,0.841,37724329
11,EmKCs,cell_line,0.593,37724329
12,KC-like,cell_line,0.572,37724329
13,KC,cell_type,0.803,37724329
14,KC-derived populations,cell_line,0.8447,37724329
15,KC,cell_type,,37724329
16,NASH,disease,0.999,37724329
17,NASH,disease,0.999,37724329
18,KC,cell_type,,37724329
19,KC,cell_type,,37724329
20,fibroblast,cell_line,0.64,37724329
21,fibroblast-like and endothelial-like cells,cell_type,,37724329
22,NASH,disease,0.999,37724329
23,ACOD1,gene,0.992,37723178
24,macrophages,cell_type,0.8833,37723178
25,tumor cells,cell_type,0.8677,37723178
26,tumor,disease,0.999,37723178
27,KEAP1,gene,0.9956,37723178
28,ACOD1,gene,0.9844,37723178
29,macrophages,cell_type,0.88,37723178
30,ACOD1 knockout macrophages,cell_line,0.712,37723178
31,ACOD1,gene,0.9937,37723178
32,induced pluripotent stem cell-derived CAR-macrophage,cell_line,0.892,37723178
33,CAR-iMAC,cell_line,0.7393,37723178
34,oxygen,drug,1.0,37723178
35,cancer cells,cell_type,0.533,37723178
36,cancer,disease,1.0,37723178
37,ovarian or pancreatic cancer,disease,1.0,37723178
38,mouse,species,0.8345,37723178
39,ACOD1,gene,0.9937,37723178
40,CAR,gene,0.729,37723178
41,-iMACs,cell_type,0.863,37723178
42,tumors,disease,1.0,37723178
43,ACOD1-depleted CAR-iMACs,cell_line,0.6313,37723178
44,ACOD1,gene,0.976,37723178
45,CAR-iMACs,cell_type,0.4766,37723178
46,anti-CD47,gene,0.9785,37723178
47,anti-PD1 antibodies,gene,0.933,37723178
48,tumor,disease,1.0,37723178
49,ACOD1,gene,0.982,37723178
50,itaconate,drug,0.994,37723178
51,KEAP1,gene,0.9893,37723178
52,NRF2,gene,0.986,37723178
53,ACOD1,gene,0.9644,37723178
54,myeloid cells,cell_type,0.442,37723178
55,cancer,disease,0.994,37723178
56,human iPSC-derived CAR-iMACs cells,cell_line,0.785,37723178
57,human,species,0.8,37723178
58,Escherichia coli,species,0.955,37720226
59,FimH,gene,0.997,37720226
60,M2 macrophages,cell_type,0.8003,37720226
61,M1 macrophages,cell_type,0.812,37720226
62,Macrophages,cell_type,0.696,37720226
63,effector cells,cell_type,0.7026,37720226
64,tumor,disease,1.0,37720226
65,FimH,gene,0.9927,37720226
66,Escherichia coli,species,0.9756,37720226
67,dendritic cell,cell_type,0.928,37720226
68,FimH,gene,0.9937,37720226
69,macrophage,cell_type,0.839,37720226
70,FimH,gene,0.9917,37720226
71,macrophages,cell_type,0.8193,37720226
72,M2,cell_line,0.6836,37720226
73,M1 macrophages,cell_line,,37720226
74,Mouse bone marrow derived macrophages,cell_line,0.842,37720226
75,Mouse,species,0.9897,37720226
76,peritoneal macrophages,cell_type,,37720226
77,FimH,gene,0.993,37720226
78,costimulatory molecules,DNA,0.534,37720226
79,FimH,gene,0.9897,37720226
80,tumor-associated macrophages,cell_type,0.565,37720226
81,tumor,disease,0.897,37720226
82,B16F10-tumor bearing C57BL,cell_line,0.959,37720226
83,FimH,gene,0.9917,37720226
84,M1 macrophage,cell_type,0.884,37720226
85,FimH,gene,0.987,37720226
86,polarized,cell_line,0.721,37720226
87,M2 macrophages,cell_line,0.852,37720226
88,interleukin (IL)-4,gene,0.996,37720226
89,IL-13,gene,0.985,37720226
90,M1 macrophages,cell_line,0.5537,37720226
91,toll-like receptor 4,gene,0.9717,37720226
92,myeloid differentiation factor 2,gene,0.995,37720226
93,FimH,gene,0.9966,37720226
94,tumor-associated macrophage,cell_type,0.74,37720226
95,tumor,disease,0.5317,37720226
96,TAM,cell_type,0.776,37720226
97,M1 macrophages,cell_line,0.431,37720226
98,B16 melanoma,cell_line,0.663,37720226
99,mice,species,0.8906,37720226
100,tumor,disease,0.9976,37720226
101,FimH,gene,0.9946,37720226
102,M1,cell_type,0.5005,37720226
103,M2 macrophages,cell_type,0.6514,37720226
104,M1 macrophages,cell_type,0.7305,37720226
105,humans,species,0.9897,37720226
106,FimH,gene,0.992,37720226
107,cancer,disease,0.648,37720226
108,anti-PD-L1 antibody,gene,0.9736,37720226
109,M1 polarization,cell_line,0.803,37720226
110,M1,cell_type,0.779,37720226
111,TAM,drug,0.9736,37720226
112,FimH,gene,0.9927,37720226
113,macrophages,cell_type,0.81,37720226
114,M2 macrophages,cell_line,0.6494,37720226
115,M1 phenotype,cell_type,0.575,37720226
116,TLR4,gene,0.994,37720226
117,FimH,gene,0.994,37720226
118,TAM,cell_type,,37720226
119,tumor,disease,0.9883,37720226
120,KDM6B,gene,0.995,37700093
121,myeloid cells,cell_line,0.9546,37700093
122,Kupffer cells,cell_type,0.9336,37691953
123,infectious disease,disease,0.9976,37691953
124,macrophage population,cell_type,0.695,37691953
125,liver-resident macrophage population,cell_type,0.7285,37691953
126,Kupffer cells,cell_type,0.924,37691953
127,KCs,cell_type,0.853,37691953
128,macrophages,cell_type,0.563,37691953
129,KCs,cell_type,0.8594,37691953
130,hepatic macrophage population,cell_type,0.7607,37691953
131,KCs,cell_type,0.84,37691953
132,KC,cell_type,,37691953
133,liver macrophages,cell_type,0.824,37691953
134,macrophages,cell_type,0.727,37691953
135,liver macrophages,cell_type,0.8057,37691953
136,tumor,disease,1.0,37690028
137,tumor cells,cell_type,0.7666,37690028
138,tumor,disease,0.976,37690028
139,suppressive immune cells,cell_type,0.85,37690028
140,myeloid-derived suppressor cells,cell_type,0.8813,37690028
141,MDSCs,cell_type,0.8335,37690028
142,tumor-associated macrophages,cell_type,0.867,37690028
143,tumor,disease,0.914,37690028
144,TAMs,cell_type,0.8257,37690028
145,regulatory T cells,cell_type,0.9204,37690028
146,natural killer (NK) cells,cell_type,0.943,37690028
147,cytotoxic T cells,cell_type,0.849,37690028
148,tumor,disease,1.0,37690028
149,triple-negative breast cancer,disease,1.0,37690028
150,MDSC,cell_type,0.885,37690028
151,entinostat,drug,0.9985,37690028
152,ENT,drug,0.9927,37690028
153,BMS-1,drug,0.998,37690028
154,poly(-amino ester),drug,0.9995,37690028
155,BEM,drug,0.997,37690028
156,scavenger receptor A,gene,0.997,37690028
157,SR-A,gene,0.996,37690028
158,BEN,DNA,0.5415,37690028
159,tumor,disease,1.0,37690028
160,SR-A,gene,0.9863,37690028
161,TAMs,cell_type,0.8306,37690028
162,TAMs,cell_type,0.775,37690028
163,M1 type,cell_type,0.5815,37690028
164,BEM,drug,0.994,37690028
165,ENT,drug,0.99,37690028
166,BMS-1,drug,0.999,37690028
167,MDSCs,cell_type,0.859,37690028
168,programmed cell death protein (PD)-1,gene,0.984,37690028
169,PD-ligand 1,gene,0.9883,37690028
170,NK cells,cell_type,0.9414,37690028
171,CD8(+) T cells,cell_type,0.832,37690028
172,CD8(+,gene,0.725,37690028
