,node,betweenness,gene
30,IFN,0.07019956391581353,IFN
111,NF-B,0.06100803568319513,NF-B
165,histone,0.05837904495852677,histone
60,mTOR,0.048878845851097544,mTOR
324,CD8+,0.046217517934201285,CD8+
265,IL-1,0.043353968052920064,IL-1
72,PD-1,0.04184419754322713,PD-1
707,PI3K,0.03519020876523231,PI3K
318,PD-L1,0.03512554603014349,PD-L1
202,IL-10,0.032595872030816375,IL-10
474,STAT3,0.031974874948538304,STAT3
520,TNF,0.031552160628771794,TNF
201,IL-6,0.03087957607041188,IL-6
402,CD8,0.02967813220641686,CD8
218,CD4,0.02746664726235525,CD4
197,CD11b,0.024880922525641492,CD11b
14,TLR4,0.02355836386615312,TLR4
256,MyD88,0.022465164879334386,MyD88
365,FLT3,0.022148338207760312,FLT3
1077,CD45,0.020777212750479997,CD45
134,PU.1,0.020649321217747308,PU.1
181,RUNX1,0.01982518352378393,RUNX1
860,MEK,0.019229372984460983,MEK
222,IFN-,0.0191774774240511,IFN-
744,MAPK,0.01907163937568626,MAPK
105,BCR,0.017427473215631477,BCR
39,interferon,0.01720504851394841,interferon
544,GM-CSF,0.016292526188856238,GM-CSF
918,p53,0.01597302436247494,p53
53,CD8(+),0.01582918862950273,CD8(+)
100,tyrosine kinase,0.015704749973535118,tyrosine kinase
339,TLR,0.015553847873669714,TLR
381,CD34,0.015421087412283629,CD34
380,CD33,0.015103243635567762,CD33
812,insulin,0.015059679484032714,insulin
59,AKT,0.0149094536743238,AKT
680,Notch,0.013600664999142077,Notch
1260,G-CSF,0.013559999452003889,G-CSF
975,IDH,0.013173544779050769,IDH
145,CD163,0.012151603307952008,CD163
198,CD14,0.011999190516654355,CD14
407,mTORC1,0.011557081902232091,mTORC1
941,histone deacetylase,0.011459375819108851,histone deacetylase
832,H3K4me3,0.011304638764145305,H3K4me3
773,NLRP3,0.011127150411089758,NLRP3
289,MYC,0.011112527232012786,MYC
1410,MLL,0.010875088060595978,MLL
415,M-CSF,0.01079934377139455,M-CSF
360,ASXL1,0.01057371360849195,ASXL1
458,CD206,0.010177369182578245,CD206
460,VEGF,0.010147491225536457,VEGF
396,C/EBP,0.009982189114707362,C/EBP
4193,GATA-1,0.00977459235127152,GATA-1
177,GLUT1,0.00961683999299964,GLUT1
109,IL-4,0.00907458756655555,IL-4
780,HIF-1,0.00905439123091369,HIF-1
1639,Akt,0.008947854840327242,Akt
207,CD4+,0.00888583660970552,CD4+
253,ERK,0.008858390383824383,ERK
223,TNF-,0.008798284305276344,TNF-
127,NLRP3 inflammasome,0.008478563746565236,NLRP3 inflammasome
3,CAR,0.008224957355948224,CAR
46,MLL1,0.00775401268659978,MLL1
6,NRF2,0.00733856430111233,NRF2
743,p38,0.0072222191368100305,p38
479,anti-PD-1,0.007157492908769192,anti-PD-1
1094,Bcl-2,0.007128458018629247,Bcl-2
691,CXCL12,0.007009621527111831,CXCL12
2971,E2F1,0.006869658269025494,E2F1
182,CD34+,0.006786967379160989,CD34+
142,iNOS,0.006785141663126313,iNOS
3575,NANOG,0.00652497558393895,NANOG
688,IL-2,0.006459567762634532,IL-2
94,type I interferon,0.006292518672386993,type I interferon
345,Cas9,0.006221291209672806,Cas9
317,nitric oxide synthase,0.006010471348296471,nitric oxide synthase
1402,CD38,0.006008495947646545,CD38
