,mention,obj,prob,pmid
0,arterial thromboembolic events,disease,0.9907,35436315
1,glaucoma,disease,1.0,35436315
2,aflibercept,gene,0.991,35436315
3,ranibizumab,gene,0.8594,35436315
4,arterial thromboembolic events,disease,0.9634,35436315
5,ATEs,disease,0.926,35436315
6,glaucoma,disease,1.0,35436315
7,patients,species,0.984,35436315
8,ranibizumab,gene,0.573,35436315
9,aflibercept,gene,0.973,35436315
10,ranibizumab,gene,0.9253,35436315
11,aflibercept,gene,0.976,35436315
12,ischemic stroke,disease,1.0,35436315
13,acute myocardial infarction,disease,1.0,35436315
14,patients,species,0.9746,35436315
15,coronary artery disease,disease,1.0,35436315
16,aflibercept,gene,0.9937,35436315
17,ranibizumab,gene,0.919,35436315
18,glaucoma,disease,1.0,35436315
19,glaucoma,disease,1.0,35436315
20,ranibizumab,gene,0.772,35436315
21,aflibercept,gene,0.9517,35436315
22,aflibercept,gene,0.9565,35436315
23,patients,species,0.981,35436315
24,Diabetic Macular Edema,disease,1.0,35422607
25,Aflibercept,gene,0.9263,35422607
26,aflibercept,gene,0.97,35422607
27,diabetic macular edema,disease,0.998,35422607
28,CI-DME,disease,0.9995,35422607
29,patients,species,0.9727,35422607
30,CI-DME,disease,1.0,35422607
31,aflibercept,gene,0.985,35422607
32,AFL,gene,0.9497,35422607
33,aflibercept,gene,0.9746,35422607
34,Retinal,cell_type,0.4521,35419572
35,Retinal pigment epithelial tear,disease,0.996,35419572
36,brolucizumab,gene,0.909,35419572
37,macular edema,disease,1.0,35417511
38,serous retinal detachment,disease,1.0,35417511
39,aflibercept,gene,0.988,35417511
40,macular edema,disease,1.0,35417511
41,serous retinal detachment,disease,1.0,35417511
42,branch retinal vein occlusion,disease,1.0,35417511
43,aflibercept,gene,0.9863,35417511
44,macular edema,disease,1.0,35417511
45,patients,species,0.9907,35417511
46,serous retinal detachment,disease,0.9995,35417511
47,aflibercept,gene,0.9624,35417511
48,patients,species,0.9766,35417511
49,serous retinal detachment,disease,1.0,35417511
50,macular edema,disease,1.0,35417511
51,non-serous retinal detachment,disease,0.94,35417511
52,serous retinal detachment,disease,1.0,35417511
53,aflibercept,gene,0.984,35417511
54,patients,species,0.964,35417511
55,branch retinal vein occlusion,disease,0.9995,35417511
56,serous retinal detachment,disease,1.0,35417511
57,macular oedema,disease,1.0,35416615
58,age-related macular INTRODUCTION,disease,0.994,35416615
59,Neovascular age-related macular degeneration,disease,1.0,35416615
60,nAMD,disease,1.0,35416615
61,diabetic macular oedema,disease,1.0,35416615
62,DME,disease,1.0,35416615
63,macular oedema,disease,1.0,35416615
64,central retinal vein occlusion,disease,1.0,35416615
65,CRVO,disease,1.0,35416615
66,vision loss,disease,0.998,35416615
