,mention,obj,prob,pmid
0,Patients,species,0.9927,35355238
1,patients,species,0.9907,35355238
2,patients,species,0.9897,35355238
3,patients,species,0.981,35355238
4,patients,species,0.9863,35355238
5,panitumumab,gene,0.879,35355238
6,patients,species,0.9834,35355238
7,patients,species,0.975,35355238
8,panitumumab,gene,0.7544,35355238
9,patients,species,0.986,35355238
10,Colorectal Cancer,disease,1.0,35351276
11,Metastatic colorectal cancer,disease,1.0,35351276
12,mCRC,disease,1.0,35351276
13,patients,species,0.9785,35351276
14,patients,species,0.99,35351276
15,patients,species,0.9775,35351276
16,Patients,species,0.9346,35351276
17,mCRC,disease,0.9893,35351276
18,KRAS/NRAS/BRAF wild,DNA,0.558,35351276
19,KRAS,gene,0.974,35351276
20,NRAS,gene,0.998,35351276
21,BRAF,gene,0.998,35351276
22,epidermal growth factor receptor,gene,0.998,35351276
23,EGFR,gene,0.9946,35351276
24,panitumumab,gene,0.854,35351276
25,EGFR,gene,0.9863,35351276
26,vascular endothelial growth factor,gene,0.998,35351276
27,VEGF,gene,0.997,35351276
28,EGFR,gene,0.99,35351276
29,right-sided tumors,disease,0.9995,35351276
30,patients,species,0.994,35351276
31,RAS mutations,gene,0.9707,35351276
32,panitumumab,gene,0.906,35351276
33,FOLFOX,drug,0.977,35351276
34,Patients,species,0.9575,35351276
35,BRAF,DNA,0.785,35351276
36,BRAF mutations,gene,0.761,35351276
37,BRAF,gene,0.997,35351276
38,cetuximab,gene,0.6567,35351276
39,BRAF,gene,0.998,35351276
40,encorafenib,drug,0.967,35351276
41,MEK kinase,gene,0.906,35351276
42,binimetinib,drug,0.948,35351276
43,patients,species,0.988,35351276
44,mismatch repair (MMR) deficient tumors,disease,0.928,35351276
45,Lynch syndrome,disease,1.0,35351276
46,FOLFOX,drug,0.946,35351276
47,FOLFIRI,drug,0.838,35351276
48,EGFR,gene,0.9917,35351276
49,patients,species,0.98,35351276
50,cancers,disease,1.0,35332092
51,cancers,disease,1.0,35332092
52,epidermal growth factor receptor,gene,0.9985,35332092
53,EGFR,gene,0.996,35332092
54,tumors,disease,1.0,35332092
55,patients,species,0.928,35332092
56,high-grade glioma,disease,1.0,35332092
57,HGG,disease,1.0,35332092
58,head-and-neck squamous cell carcinoma,disease,1.0,35332092
59,HNSCC,disease,1.0,35332092
60,lung adenocarcinoma,disease,1.0,35332092
61,LAC,disease,1.0,35332092
62,panitumumab,gene,0.969,35332092
63,EGFR,gene,0.9946,35332092
64,claudin-5,gene,0.986,35332092
65,panitumumab,gene,0.9575,35332092
66,tumor,disease,0.9985,35332092
67,tumor,disease,0.998,35332092
68,HGG,disease,1.0,35332092
69,HNSCC,disease,1.0,35332092
70,LAC,disease,1.0,35332092
71,at,DNA,,35332092
72,tumor,disease,1.0,35332092
73,HGG,disease,1.0,35332092
74,EGFR,gene,0.9873,35332092
75,HNSCC,disease,0.9995,35332092
76,LAC,disease,1.0,35332092
77,EGFR,gene,0.988,35332092
78,tumor,disease,0.9995,35332092
79,panitumumab,gene,0.9634,35332092
80,multi-cancer,disease,1.0,35332092
81,EGFR,gene,0.9814,35332092
82,tumor cell,cell_type,0.4797,35332092
83,tumor,disease,0.991,35332092
84,tumor,disease,0.9766,35332092
85,tumor,disease,1.0,35332092
86,tumor,disease,0.9985,35302604
87,cancer,disease,0.8545,35302604
88,tumor,disease,1.0,35302604
89,cancer,disease,0.996,35302604
90,tumor,disease,0.9985,35302604
91,tumor,disease,0.991,35302604
92,patients,species,0.9844,35302604
93,panitumumab,gene,0.9365,35302604
94,epidermal growth factor receptor,gene,0.998,35302604
95,EGFR,gene,0.997,35302604
96,patients,species,0.9756,35302604
97,panitumumab,gene,0.9727,35302604
98,EGFR overexpressing cancer cells,cell_line,0.9053,35302604
99,EGFR,gene,0.9883,35302604
100,cancer,disease,0.517,35302604
101,tumor,disease,0.8975,35302604
102,normal,cell_type,0.665,35302604
103,FLT,drug,0.964,35302604
104,tumor,disease,0.9995,35302604
105,EGFR,gene,0.981,35302604
106,patients,species,0.9844,35302604
107,tumor cell,cell_type,0.4946,35302604
108,tumor,disease,0.5396,35302604
109,FLT,gene,0.9834,35302604
110,tumor,disease,0.577,35302604
111,tumor,disease,1.0,35302604
112,EFGR,gene,0.997,35302604
113,FLT,gene,0.9893,35302604
114,tumor,disease,0.939,35302604
115,humans,species,0.9746,35302604
116,cancer,disease,0.9946,35302604
117,Sigmoid Colon Cancer,disease,1.0,35299187
118,Bladder Fistula,disease,0.9985,35299187
119,patient,species,0.9673,35299187
120,woman,species,0.916,35299187
121,sigmoid colon tumor,disease,0.989,35299187
122,fistula,disease,0.5347,35299187
123,patient,species,0.977,35299187
124,peritonitis,disease,0.817,35299187
125,tumor,disease,0.918,35299187
126,CAPOX,drug,0.93,35299187
127,FOLFIRI,drug,0.8843,35299187
