,mention,obj,prob,pmid
0,Immune checkpoint proteins,gene,0.9653405547142029,35341913
1,Immune checkpoint proteins,gene,0.9886470437049866,35341913
2,ICP,gene,0.9901372194290161,35341913
3,tumor cells,cell_type,0.8646162748336792,35341913
4,tumor,disease,0.9058346152305603,35341913
5,Pembrolizumab,drug,0.49987712502479553,35341913
6,healthy,cell_type,0.4989462196826935,35341913
7,ICPs,gene,0.8705414533615112,35341913
8,ICPs,gene,0.9735230803489685,35341913
9,ICPs,gene,0.923360288143158,35341913
10,immune cell populations,cell_type,0.8600112795829773,35341913
11,cell type,cell_line,0.7533065676689148,35341913
12,effector immune cell types,cell_type,0.5795352458953857,35341913
13,cancer,disease,0.9999476671218872,35341913
14,immune cells,cell_type,0.8267802000045776,35341913
15,HIV,disease,0.8511147499084473,35336991
16,SIV,species,0.8324015140533447,35336991
17,PD-1,gene,0.9971040487289429,35336991
18,cytotoxic T-lymphocyte-associated antigen-4,gene,0.9972952008247375,35336991
19,CTLA-4,gene,0.996070384979248,35336991
20,T cell immunoglobulin,gene,0.9950525164604187,35336991
21,ITIM,gene,0.6669051647186279,35336991
22,TIGIT,gene,0.9935739040374756,35336991
23,lymphocyte,DNA,0.7755718231201172,35336991
24,lymphocyte-activation gene-3,gene,0.9974119663238525,35336991
25,LAG-3,gene,0.99602210521698,35336991
26,T cell immunoglobulin and mucin domain-3,gene,0.9826945662498474,35336991
27,Tim-3,gene,0.9978797435760498,35336991
28,CD160,gene,0.9846120476722717,35336991
29,2B4,gene,0.9667796492576599,35336991
30,CD244,gene,0.9880115985870361,35336991
31,V-domain Ig suppressor of T cell activation,gene,0.9952572584152222,35336991
32,VISTA,gene,0.9957411289215088,35336991
33,T cell,cell_type,0.5325042605400085,35336991
34,T,disease,0.7768473029136658,35336991
35,ICs,cell_type,0.8157395720481873,35336991
36,HIV,species,0.7705705165863037,35336991
37,SIV,species,0.9353275895118713,35336991
38,ICs,gene,0.7559730410575867,35336991
39,CD4(+) and CD8(+) T cells,cell_type,0.8678867816925049,35336991
40,CD4,gene,0.6985146999359131,35336991
41,CD8,gene,0.4986894130706787,35336991
42,ICs,gene,0.5905354619026184,35336991
43,CD4(+) T cells,cell_line,0.8674878478050232,35336991
44,CD4(+),gene,0.9215110540390015,35336991
45,HIV,species,0.8977037072181702,35336991
46,SIV,species,0.9137784838676453,35336991
47,HIV,species,0.9713555574417114,35336991
48,ICs,cell_type,0.8211228251457214,35336991
49,HIV,species,0.7995244860649109,35336991
50,HIV,species,0.8242163062095642,35336991
51,SIV,species,0.9099127054214478,35336991
52,HLA-G,gene,0.9920327663421631,35328349
53,HLA-G,gene,0.9966721534729004,35328349
54,HLA-class Ib molecule,gene,0.9965314865112305,35328349
55,HLA-G,gene,0.9965601563453674,35328349
56,hematological,cell_type,0.4862953722476959,35328349
57,hematological and solid tumors,disease,0.9999951124191284,35328349
58,cancer,disease,0.9999943971633911,35328349
59,tumor cells,cell_type,0.887269139289856,35328349
60,tumor,disease,0.9921995997428894,35328349
61,HLA-G,gene,0.993497371673584,35328349
62,tumor,disease,0.9785888195037842,35328349
63,HLA-G,gene,0.9939860105514526,35328349
64,tumor,disease,0.9999945163726807,35328349
65,HLA-G,gene,0.9960544109344482,35328349
66,PD-1,gene,0.9970512390136719,35328349
67,CTLA-4,gene,0.9452770948410034,35328349
68,TIM-3,gene,0.9945673942565918,35328349
69,IDO,gene,0.9676569104194641,35328349
70,TIGIT,gene,0.9863617420196533,35328349
71,HLA-G,gene,0.9974061846733093,35328349
72,cancer,disease,0.9999066591262817,35328349
73,patients,species,0.9887209534645081,35328349
74,PD-1,gene,0.996189296245575,35328349
75,CTLA-4,gene,0.9978491067886353,35328349
76,HLA-G,gene,0.9964702129364014,35328349
77,tumor,disease,0.8517223596572876,35328349
78,patients,species,0.9937492609024048,35328349
79,Malignant pleural mesothelioma,disease,0.9999987483024597,35327475
80,MPM,disease,0.9999986886978149,35327475
81,cancer,disease,0.9999821186065674,35327475
82,asbestos,drug,0.8790597915649414,35327475
83,MPM,disease,0.9999305009841919,35327475
84,MPM,disease,0.9999382495880127,35327475
85,T cell immunoglobulin,gene,0.9972794651985168,35327475
86,ITIM,gene,0.8914318084716797,35327475
87,TIGIT,gene,0.9969138503074646,35327475
88,mesothelioma,disease,0.9999985694885254,35327475
89,TIGIT,gene,0.9968575239181519,35327475
90,MPM,disease,0.9998262524604797,35327475
91,MPM,disease,0.9999077320098877,35327475
92,PD-L1,gene,0.9979374408721924,35327475
93,TIGIT,gene,0.9958310723304749,35327475
94,TIGIT,gene,0.997962474822998,35326415
95,PD-1,gene,0.9957050681114197,35326415
96,TIM-3,gene,0.995944082736969,35326415
97,CD39,gene,0.9830705523490906,35326415
98,T Cells,cell_type,0.8610674142837524,35326415
99,T cells,cell_type,0.6972331404685974,35326415
100,MALs,disease,0.9991596937179565,35326415
101,malignant ascites lymphocytes,cell_type,0.8367900848388672,35326415
102,TILs,cell_type,0.7274801135063171,35326415
103,tumor infiltrating lymphocytes,cell_type,0.8678883910179138,35326415
104,PBLs,cell_type,0.8146927952766418,35326415
105,peripheral blood lymphocytes,cell_type,0.8422309756278992,35326415
106,ovarian cancer,disease,0.9999974370002747,35326415
107,OvCA,disease,0.9999884963035583,35326415
108,patients,species,0.9713212251663208,35326415
109,T cell,cell_type,0.662618100643158,35326415
110,PBL,cell_type,0.6841112971305847,35326415
111,OvCA,disease,0.9999707937240601,35326415
112,patients,species,0.9792121648788452,35326415
113,PBL,cell_type,0.6786483526229858,35326415
114,HD,disease,1.0,35326415
115,TIGIT,gene,0.9953718781471252,35326415
116,PD-1,gene,0.9963078498840332,35326415
117,TIM-3,gene,0.9949270486831665,35326415
118,Ox40,gene,0.993144154548645,35326415
119,CD39,gene,0.9889159202575684,35326415
120,CD73,gene,0.9846087694168091,35326415
121,T cell subsets,cell_type,0.8692262768745422,35326415
122,V1 T cells,cell_line,0.7283676266670227,35326415
123,MALs,disease,0.9999951124191284,35326415
124,TILs,cell_type,0.8145585656166077,35326415
125,V1 TILs,cell_line,0.5654461979866028,35326415
126,V1 MALs,cell_line,0.7434325218200684,35326415
127,terminally differentiated effector memory cells,cell_type,0.700201690196991,35326415
128,TEMRA,cell_type,0.5430322289466858,35326415
129,CD45RA,gene,0.9966862797737122,35326415
130,TIGIT,gene,0.9976067543029785,35326415
131,TIM-3,gene,0.9956445693969727,35326415
132,MALs,cell_type,0.5817090272903442,35326415
133,PBLs,cell_type,0.8612725138664246,35326415
134,V1 TILs,cell_line,0.9573816657066345,35326415
135,PD-1,gene,0.9946814179420471,35326415
136,CD39,gene,0.9890428185462952,35326415
137,Ox40,gene,0.9792445302009583,35326415
138,V1 TILs,cell_line,0.6084853410720825,35326415
139,TILs,cell_type,0.8214128017425537,35326415
140,TIGIT,gene,0.9986572265625,35326415
141,PD-1,gene,0.9887680411338806,35326415
142,CD39,gene,0.9753611087799072,35326415
143,MALs,disease,0.7763401865959167,35326415
144,PBLs,cell_type,0.8200976848602295,35326415
145,V1 T cell population,cell_line,0.6675044298171997,35326415
146,MALs,disease,0.9999723434448242,35326415
147,tumors,disease,0.4903348982334137,35326415
148,OvCA,disease,0.9999856948852539,35326415
149,patients,species,0.9888351559638977,35326415
150,TIGIT,gene,0.9984415173530579,35326415
151,PD-1,gene,0.9949120879173279,35326415
152,CD39,gene,0.9896940588951111,35326415
153,TILs,cell_type,0.8133462071418762,35326415
154,OvCA,disease,0.9999544620513916,35326415
155,CD155,gene,0.9966901540756226,35324958
156,TIGIT,gene,0.9970136880874634,35324958
157,patients,species,0.9521039724349976,35324958
158,colorectal cancer,disease,0.9999966621398926,35324958
159,CD155,gene,0.9806101322174072,35324958
160,T cell immunoreceptor with,gene,0.9808351993560791,35324958
161,Ig and ITIM domains,gene,0.7882155776023865,35324958
162,TIGIT,gene,0.9954726696014404,35324958
163,solid tumors,disease,0.9999455809593201,35324958
164,CD155,gene,0.9918465614318848,35324958
165,TIGIT,gene,0.9942243695259094,35324958
166,colorectal cancer,disease,0.999998927116394,35324958
167,CRC,disease,0.9999963045120239,35324958
168,TIGIT,gene,0.9973180890083313,35324958
169,CD155,gene,0.988180935382843,35324958
170,T cells,cell_type,0.9005269408226013,35324958
171,tumors,disease,0.9999707937240601,35324958
172,CRC,disease,0.9990272521972656,35324958
173,CD155,gene,0.9908599257469177,35324958
174,TIGIT,gene,0.9943935871124268,35324958
175,patients,species,0.974521279335022,35324958
176,CRC,disease,0.9996203184127808,35324958
177,Stage III tumors,disease,0.9714924693107605,35324958
178,CD155,gene,0.9916069507598877,35324958
179,TIGIT,gene,0.9970186948776245,35324958
180,CD155,gene,0.9842717051506042,35324958
181,TIGIT,gene,0.9943559765815735,35324958
182,Patients,species,0.9812546968460083,35324958
183,CD155,gene,0.9942508935928345,35324958
184,TIGIT,gene,0.995958149433136,35324958
185,CD155,gene,0.9966368675231934,35324958
186,TIGIT,gene,0.9935103058815002,35324958
187,CD155,gene,0.9955706000328064,35324958
188,TIGIT,gene,0.9923394918441772,35324958
189,CRC,disease,0.9996578693389893,35324958
190,CRC,disease,0.9937534928321838,35324958
191,CD155,gene,0.9924478530883789,35324958
192,TIGIT,gene,0.9934048056602478,35324958
193,CD155,gene,0.9901446104049683,35324958
194,TIGIT,gene,0.9959316849708557,35324958
195,CRC,disease,0.9912490844726562,35324958
196,TIGIT,gene,0.975165069103241,35320940
197,Cancer,disease,0.999961256980896,35320940
198,cancers,disease,0.999958872795105,35320940
